Player,Team,Goals,Assists,Turnovers,"Quadball Stops","Beater Stops","Beater Shifts","Average Dodgeballs",Plus/Minus,"Runner Catches","Games Played"
"Jacob Ehrlich",NYC,0,0,0,0,2,22,1.9545,11,0,3
"Tessa Mullins",NYC,0,0,0,0,7,108,1.6111,22,0,9
"Vincenzo Cicco",NYC,0,0,0,0,12,94,1.5957,35,0,12
"Jahved Cole",NYC,11,2,6,9,0,0,NULL,0,0,9
"Avery Olivar",NYC,3,2,4,3,0,0,NULL,0,0,9
"Michael Li",NYC,22,18,16,13,0,0,NULL,0,0,12
"Zachary Armantrading",NYC,16,5,10,4,0,0,NULL,0,0,12
"David Hoops",NYC,5,1,1,4,0,0,NULL,0,0,3
"Kerri Donnelly",NYC,0,0,0,0,0,45,1.7333,23,0,9
"Kristin Forsstrom",NYC,7,1,3,3,0,0,NULL,0,0,3
"Lindsay Marella",NYC,10,17,5,17,0,0,NULL,0,0,9
"Mohammed Haggag",NYC,4,5,5,10,0,0,NULL,0,3,12
"Frank Minson",NYC,13,4,8,5,0,4,1.5000,-1,0,12
"Jason Rosenberg",NYC,0,0,0,0,0,0,NULL,0,0,6
"Vincent Iannucci",NYC,7,5,5,6,0,0,NULL,0,2,9
"Katryna Hicks",WAS,0,0,0,1,4,66,1.3333,6,0,12
"Tai-Juan Generette",WAS,7,4,12,6,0,0,NULL,0,4,9
"Zain Bhalia",WAS,0,0,0,0,12,35,1.3143,13,0,6
"Shane McConaghie",WAS,24,11,18,13,0,0,NULL,0,1,12
"Bernardo Berges",WAS,2,1,1,1,14,96,1.2292,11,0,12
"Zan Siddiqui",WAS,1,0,2,1,0,0,NULL,0,0,3
"David Littleton",WAS,9,9,9,7,0,0,NULL,0,0,9
"Bryan Mulcahy",WAS,14,3,11,13,0,0,NULL,0,0,9
"Julia Rankin",WAS,3,1,7,3,0,0,NULL,0,0,9
"Jeannette High",WAS,2,3,9,3,0,0,NULL,0,0,6
"Elizabeth Stone",WAS,5,0,0,1,0,0,NULL,0,0,3
"Rachel Heald",WAS,6,6,9,2,0,0,NULL,0,0,12
"Julianne Nuetzel",WAS,1,1,8,3,0,0,NULL,0,0,12
"Nicola Gertler",WAS,0,0,0,0,0,0,NULL,0,0,0
"Tyler Trudeau",WAS,12,10,7,8,0,0,NULL,0,0,12
"Riley Starrs",WAS,14,26,12,12,0,0,NULL,0,0,12
"Ali Iannucci",WAS,0,0,0,0,1,10,1.6000,2,0,6
"Melissa Smith",WAS,0,0,0,0,3,77,1.1299,11,0,12
"Robby May",WAS,0,0,0,0,4,31,1.1290,0,0,6
"Dale Farnan",WAS,12,15,16,19,0,0,NULL,0,0,12
"Robert Rice",WAS,0,0,0,0,7,79,1.3418,6,0,12
"John Gaffigan",WAS,3,3,4,0,0,0,NULL,0,0,6
"Adrian Koretsky",WAS,0,0,0,0,10,92,1.3043,12,0,12
"Cody Nardone",WAS,9,7,5,10,2,30,1.0000,-11,0,12
"Julia Baer",WAS,16,3,13,7,1,6,0.8333,-1,0,12
"Jerrick Knippel",WAS,3,4,2,2,0,0,NULL,0,0,3
"Nathan Morton",WAS,0,0,0,0,0,0,NULL,0,0,0
"Diana Howard",WAS,0,0,0,0,11,100,1.2200,3,0,12
"Rachel Williams",WAS,5,2,7,1,0,0,NULL,0,0,3
"Colin Bourn",WAS,0,0,0,0,4,66,1.2879,7,0,9
"Scott Rousseau",TOR,1,0,2,0,0,0,NULL,0,0,5
"Grace Davey",TOR,0,0,0,0,1,31,1.0000,-14,0,8
"Diana Shakhova",TOR,0,0,0,0,0,0,NULL,0,0,0
"Samantha McCaul",TOR,0,0,0,0,3,55,1.5455,10,0,6
"Joanne Lam",TOR,3,7,4,8,0,0,NULL,0,0,6
"Levi Medeiros",TOR,8,1,9,5,0,0,NULL,0,0,8
"Alexander Scherger",TOR,0,0,0,0,7,68,1.4265,3,0,8
"Rebecca Hodder",TOR,1,0,1,0,0,0,NULL,0,0,5
"Cory Smithson",TOR,11,10,10,7,4,34,1.4706,2,3,8
"Derek Taylor",TOR,1,5,8,7,2,22,1.4091,-1,0,8
"Stevie Vindua",TOR,15,5,18,7,0,0,NULL,0,0,6
"Gabriel Kwok",TOR,0,0,0,0,0,0,NULL,0,0,0
"Andrew Kusters",TOR,4,1,4,3,0,0,NULL,0,0,3
"Michael Wanless",TOR,2,1,10,9,0,0,NULL,0,0,5
"Savannah Campbell",TOR,0,1,8,1,0,0,NULL,0,1,8
"Bryan Melchior",TOR,20,4,11,10,0,0,NULL,0,0,8
"Isabelle Kirby",TOR,0,0,0,0,1,16,0.6875,-10,0,2
"Sarah Dykstra",TOR,4,0,8,3,0,0,NULL,0,0,8
"Brittany Kahane",TOR,0,0,0,0,3,67,1.4030,0,0,8
"Christos Kaldis",TOR,5,4,7,4,0,0,NULL,0,1,5
"Sinan Keyder",TOR,4,3,10,3,0,0,NULL,0,0,5
"Robert Ali",TOR,5,3,13,8,0,0,NULL,0,0,8
"Devin Dutt",TOR,5,9,18,8,0,0,NULL,0,0,6
"Zac MacDonald",TOR,1,1,0,0,3,59,1.2034,-6,0,5
"Alex Shehdula",TOR,0,0,0,0,0,0,NULL,0,0,0
"Noelle Starling",TOR,0,1,8,0,0,0,NULL,0,0,5
"Emma Sherwood",TOR,0,0,0,0,7,79,1.4684,11,0,8
"Piotr Makuch",TOR,0,0,1,0,2,67,1.4328,-2,0,8
"Matthew Bunn",TOR,5,2,4,7,0,0,NULL,0,0,8
"Wils Nielsen",TOR,0,0,0,0,0,0,NULL,0,0,0
"Ad Ojo",ROC,6,2,15,9,0,0,NULL,0,2,10
"JD Hopton",ROC,14,6,22,6,0,2,0.0000,-1,0,10
"Lydia Morgan",ROC,0,0,2,1,0,0,NULL,0,0,6
"Benjamin Stonish",ROC,12,0,19,13,0,5,1.2000,-1,0,10
"Evalien Duyvesteyn",ROC,0,0,3,2,0,12,0.5833,-9,0,7
"Josh Tombline",ROC,0,0,0,0,5,60,1.3000,5,0,6
"Josh Kramer",ROC,0,0,0,0,8,75,1.5600,-3,0,6
"Ashely Dolan",ROC,0,0,0,0,3,61,1.3934,-2,0,10
"Emma Cunningham",ROC,0,0,0,0,0,0,NULL,0,0,0
"Madeleine Fordham",ROC,0,0,0,0,10,152,1.0987,-26,0,10
"Patrick Callanan",ROC,0,0,0,0,7,71,1.3380,-8,0,6
"Viviana Estrada",ROC,4,1,10,1,0,0,NULL,0,0,6
"Mitchell Vargas",ROC,3,3,8,4,0,0,NULL,0,0,3
"Cody Keefer",ROC,19,12,25,26,1,8,0.5000,-3,0,7
"Kit Powpour",ROC,17,8,18,9,1,32,1.2813,-6,0,10
"Jianhao Gao",ROC,0,0,2,0,0,9,0.4444,-6,0,4
"Ashley Wilson",ROC,5,2,25,12,0,2,0.0000,-1,0,10
"Alyssa Giarrosso",ROC,3,1,9,0,0,0,NULL,0,0,10
"Sophie Eckhardt",ROC,0,0,0,0,0,0,NULL,0,0,0
"Zach Sobel-Pressman",ROC,5,2,8,8,0,0,NULL,0,0,6
